State,Office,Name,Caucus,slug
Arizona,1,Eva Putzova,,
Arizona,3,Raúl Grijalva,,
California,1,Audrey Denney,,audreydenney
California,4,Robert Lawton,,
California,5,Jason Kishineff,🌹,Kishineff
California,6,Ben A. Emard,🌹,Emard
California,7,Jeff Burdick,,
California,12,Shahid Buttar,,shahidbuttar
California,16,Kim Williams,,
California,17,Ro Khanna,,
California,18,Rishi Kumar,,
California,19,Ivan Torres,,
California,20,Adam Bolaños,,
California,22,Dary Rezvani,,
California,28,Maebe A. Girl,,
California,29,Angelica Dueñas,,
California,30,CJ Berina,,
California,30,Paula Kahn,,
California,34,Frances Y. Motiwalla,,
California,47,Jalen McLeod,,
California,51,Aeiramique Glass,,
California,53,Jose Caballero,🌹,Caballero
Colorado,1,Charlie M. Winters,🌹,Winters
Colorado,4,Ike McCorkle,,
Colorado,7,Nathan Clay,🌹,Clay
Colorado,Senate,Andrew Romanoff,,romanoff
Colorado,Senate,Lorena Garcia,,lorenagarcia
Delaware,Senate,Jessica Scarane,,
Florida,5,Isaiah Abenchuchan,,
Florida,23,Jen Perelman,,
Florida,24,Sakinah Lehtola,,
Florida,94,Elijah Manley,🌹,Manley
Georgia,1,Lisa Ring,,
Georgia,4,Antonio C. Hicks,🌹,antoniohicks
Georgia,7,Nabilah Islam,,
Georgia,8,Jimmy Cooper,,
Georgia,11,Asher Nuckolls,🌹,Nuckolls
Georgia,13,Michael Owens,,
Georgia,Senate,Ted Terry,,
Illinois,13,Stefanie Smith,🌹,Smith
Illinois,60,Diana Burdette,🌹,Burdette
Indiana,3,Carlos Marcano,🌹,Marcano
Indiana,9,Brandon W. Hood,🌹,Hood
Kentucky,Senate,Charles Booker,,charlesbooker
Maine,Senate,Betsy Sweet,,
Maine,Senate,Bre Kidman,🌹,Kidman
Maryland,4,Shelia Bryant,,
Maryland,5,Mckayla Wilkes,,
Massachusetts,1,Alex Morse,,
Massachusetts,4,Ihssane Leckey,,
Massachusetts,6,Nathaniel Mulcahy,🌹,Mulcahy
Massachusetts,7,Ayanna Pressley,,ayannapressley
Massachusetts,8,Brianna Wu,,briannawu
Massachusetts,8,Robbie Goldstein,,
Michigan,12,Solomon Rajput,🌹,Rajput
Mississippi,1,Antonia Eliason,,
Mississippi,Senate,Jensen Bohren,,
Nebraska,9,Mark Vondrasek,🌹,Vondrasek
Nevada,1,Anthony Thomas Jr,🌹,Thomas
Nevada,2,Rick Shepherd,,
New Jersey,4,Jim Keady,,
New Jersey,5,Arati Kreibich,,
New Jersey,6,Russ Cirincione,,
New Jersey,8,Hector Oseguera,,
New Jersey,9,Zina Spezakis,,
New Jersey,10,John J. Flora,,
New Jersey,Senate,Lawrence Hamm,,
New York,3,Melanie D’Arrigo,,
New York,5,Shaniyat Chowdhury,,
New York,6,Mel Gagarin,,
New York,9,Isiah James,,
New York,10,Lindsey Boylan,,
New York,12,Lauren Ashcraft,,ashcraft
New York,14,Alexandria Ocasio-Cortez,,aoc
New York,15,Samelys López,,
New York,16,Andom Ghebreghiorgis,,
New York,16,Jamaal Bowman,,
New York,17,Mondaire Jones,,
North Carolina,4,Daniel U. Lockwood,🌹,daniellockwood
North Carolina,19,James Dawkins,🌹,Dawkins
Ohio,5,Xavier Carrigan,🌹,Carrigan
Oregon,1,Amanda Siebe,,
Oregon,3,Albert Lee,,
Oregon,4,Doyle Canning,,
Oregon,5,Mark Gamba,,
Pennsylvania,2,Salem Snow,🌹,Snow
South Carolina,Senate,Justin Wooton,🌹,justinwooton
Tennessee,4,Amber Riddle,🌹,amberriddle
Tennessee,5,Justin Jones,,
Tennessee,5,Meredith Mattlin,🌹,Mattlin
Tennessee,9,Corey Strong,,
Texas,10,Mike Siegel,,
Texas,14,Adrienne Bell,,
Texas,18,Stevens Orozco,,
Texas,24,Sam Vega,🌹,Vega
Texas,25,Heidi Sloan,,
Texas,28,Jessica Cisneros,,jessicacisneros
Texas,31,Donna Imam,,donnaimam
Texas,Senate,Sema Hernandez,🌹,semahernandez
Utah,4,Daniel Beckstrand,,
Virginia,11,Zainab Mohsini,🌹,Mohsini
Washington,2,Jason Call,🌹,Call
Washington,3,Peter Khalil,,
Washington,5,Chris Armitage,,
Washington,6,Rebecca Parson,,
Washington,7,Pramila Jayapal,,
Washington,10,Joshua Collins,🌹,Collins
West Virginia,2,Cathy Kunkel,,
West Virginia,Senate,Paula J. Swearengin,,
Wyoming,Senate,Yana Ludwig,🌹,Ludwig
